ダウンロードした時刻：2014/04/23 03:42:00

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/?),合計全天日射量(MJ/?),合計全天日射量(MJ/?),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均湿度(％),平均湿度(％),平均湿度(％),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),天気概況(昼),天気概況(昼),天気概況(昼),天気概況(夜),天気概況(夜),天気概況(夜),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2011/1/1,6.6,8,1,10.8,8,1,2.2,8,1,0,1,8,1,7.9,0,8,1,10.19,8,1,2.3,8,1,3.2,8,1,995.9,8,1,33,8,1,5.0,8,1,晴後一時曇,8,1,晴,8,1,0,1,8,1
2011/1/2,7.0,8,1,11.0,8,1,4.1,8,1,0,1,8,1,8.4,0,8,1,11.00,8,1,2.2,8,1,4.0,8,1,1011.1,8,1,41,8,1,3.3,8,1,薄曇後晴,8,1,晴,8,1,0,1,8,1
2011/1/3,5.9,8,1,9.2,8,1,3.1,8,1,0,1,8,1,5.2,0,8,1,8.99,8,1,2.1,8,1,4.5,8,1,1011.5,8,1,48,8,1,7.0,8,1,晴後一時曇,8,1,曇一時晴,8,1,0,1,8,1
2011/1/4,6.3,8,1,9.8,8,1,3.3,8,1,0,1,8,1,8.4,0,8,1,10.82,8,1,3.0,8,1,3.7,8,1,1005.7,8,1,40,8,1,3.5,8,1,晴,8,1,快晴,8,1,0,1,8,1
2011/1/5,7.3,8,1,11.0,8,1,2.8,8,1,0,1,8,1,7.4,0,8,1,10.95,8,1,3.3,8,1,4.0,8,1,1006.2,8,1,39,8,1,4.5,8,1,晴後薄曇,8,1,晴時々薄曇,8,1,0,1,8,1
2011/1/6,6.5,8,1,10.8,8,1,3.1,8,1,0,1,8,1,6.7,0,8,1,10.60,8,1,4.3,8,1,3.3,8,1,1003.8,8,1,34,8,1,2.3,8,1,晴,8,1,快晴,8,1,0,1,8,1
2011/1/7,4.0,8,1,7.3,8,1,1.8,8,1,0,1,8,1,9.2,0,8,1,12.36,8,1,4.7,8,1,2.0,8,1,1010.9,8,1,25,8,1,0.0,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2011/1/8,5.9,8,1,10.0,8,1,1.0,8,1,0,1,8,1,9.2,0,8,1,11.98,8,1,2.4,8,1,3.2,8,1,1013.2,8,1,33,8,1,0.0,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2011/1/9,6.1,8,1,12.2,8,1,0.6,8,1,0,1,8,1,9.1,0,8,1,11.59,8,1,2.1,8,1,4.2,8,1,1003.8,8,1,46,8,1,2.3,8,1,快晴,8,1,晴時々曇,8,1,0,1,8,1
2011/1/10,3.4,8,1,6.1,8,1,1.4,8,1,0,1,8,1,9.2,0,8,1,12.75,8,1,5.1,8,1,2.1,8,1,1008.4,8,1,27,8,1,1.8,8,1,快晴,8,1,晴,8,1,0,1,8,1
2011/1/11,3.8,8,1,6.4,8,1,0.5,8,1,0,1,8,1,6.7,0,8,1,9.99,8,1,2.4,8,1,2.5,8,1,1008.1,8,1,31,8,1,5.8,8,1,晴後曇,8,1,曇後一時晴,8,1,0,1,8,1
2011/1/12,5.1,8,1,9.5,8,1,1.9,8,1,0.0,0,8,1,8.4,0,8,1,11.14,8,1,2.5,8,1,3.3,8,1,1003.3,8,1,37,8,1,2.8,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2011/1/13,4.4,8,1,7.7,8,1,2.4,8,1,0.0,0,8,1,8.6,0,8,1,12.09,8,1,3.8,8,1,2.3,8,1,1012.3,8,1,28,8,1,2.3,8,1,快晴,8,1,晴一時曇,8,1,0,1,8,1
2011/1/14,3.8,8,1,7.3,8,1,0.0,8,1,0,1,8,1,9.1,0,8,1,11.83,8,1,1.7,8,1,2.9,8,1,1014.1,8,1,36,8,1,1.3,8,1,快晴,8,1,晴後薄曇,8,1,0,1,8,1
2011/1/15,4.0,8,1,7.4,8,1,0.2,8,1,0,1,8,1,1.1,0,8,1,5.89,8,1,1.9,8,1,4.2,8,1,1001.9,8,1,52,8,1,9.5,8,1,薄曇,8,1,曇時々晴,8,1,0,1,8,1
2011/1/16,2.2,8,1,5.9,8,1,-1.1,8,1,0.0,0,8,1,8.2,0,8,1,11.90,8,1,3.5,8,1,2.6,8,1,997.3,8,1,39,8,1,3.8,8,1,晴,8,1,快晴,8,1,0,1,8,1
2011/1/17,5.0,8,1,11.0,8,1,-0.2,8,1,0,1,8,1,8.7,0,8,1,12.63,8,1,3.1,8,1,2.2,8,1,1006.9,8,1,26,8,1,1.3,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2011/1/18,5.5,8,1,10.6,8,1,0.1,8,1,0,1,8,1,9.4,0,8,1,12.71,8,1,2.4,8,1,3.1,8,1,1012.2,8,1,36,8,1,1.0,8,1,快晴,8,1,晴,8,1,0,1,8,1
2011/1/19,6.3,8,1,10.6,8,1,1.7,8,1,0,1,8,1,9.3,0,8,1,12.23,8,1,2.0,5,1,3.8,8,1,1009.7,8,1,41,8,1,1.5,8,1,快晴,8,1,晴一時薄曇,8,1,0,1,8,1
2011/1/20,5.4,8,1,10.1,8,1,2.2,8,1,0,1,8,1,9.4,0,8,1,12.77,8,1,2.9,8,1,2.7,8,1,1007.8,8,1,31,8,1,3.3,8,1,快晴,8,1,曇時々晴,8,1,0,1,8,1
2011/1/21,5.0,8,1,8.5,8,1,2.3,8,1,0,1,8,1,9.3,0,8,1,12.89,8,1,3.2,8,1,2.4,8,1,1011.4,8,1,28,8,1,4.5,8,1,晴,8,1,曇時々晴,8,1,0,1,8,1
2011/1/22,6.0,8,1,10.4,8,1,2.6,8,1,0,1,8,1,9.4,0,8,1,12.86,8,1,2.1,8,1,3.1,8,1,1010.8,8,1,34,8,1,2.3,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2011/1/23,5.7,8,1,9.4,8,1,2.4,8,1,0.0,0,8,1,6.3,0,8,1,9.73,8,1,1.8,8,1,3.7,8,1,1014.9,8,1,42,8,1,5.5,8,1,晴後薄曇,8,1,曇時々雨,8,1,0,1,8,1
2011/1/24,5.1,8,1,8.2,8,1,2.5,8,1,3.5,0,8,1,3.5,0,8,1,7.62,8,1,2.1,8,1,5.6,8,1,1010.2,8,1,65,8,1,8.5,8,1,曇後晴,8,1,雨一時みぞれ後晴、あられを伴う,8,1,0,1,8,1
2011/1/25,5.9,8,1,10.2,8,1,2.9,8,1,0.0,0,8,1,8.6,0,8,1,13.23,8,1,3.0,8,1,3.1,8,1,1013.6,8,1,34,8,1,2.0,8,1,快晴,8,1,晴一時曇,8,1,0,1,8,1
2011/1/26,5.3,8,1,9.7,8,1,1.4,8,1,0.0,0,8,1,7.3,0,8,1,11.59,8,1,2.5,8,1,3.3,8,1,1014.2,8,1,37,8,1,2.3,8,1,晴,8,1,快晴,8,1,0,1,8,1
