Y/M/D,MeanTemp,MaxTemp,MinTemp,DailyPrecipitation,DayLength,GlobalSolarRadiation,MeanWindSpeed,MeanVaporPressure,MeanAtmosphericPressure,MeanHumidity,MeanCloudCover,SnowDepth
2011/1/1,6.6,10.8,2.2,0,7.9,10.19,2.3,3.2,995.9,33,5,0
2011/1/2,7,11,4.1,0,8.4,11,2.2,4,1011.1,41,3.3,0
2011/1/3,5.9,9.2,3.1,0,5.2,8.99,2.1,4.5,1011.5,48,7,0
2011/1/4,6.3,9.8,3.3,0,8.4,10.82,3,3.7,1005.7,40,3.5,0
2011/1/5,7.3,11,2.8,0,7.4,10.95,3.3,4,1006.2,39,4.5,0
2011/1/6,6.5,10.8,3.1,0,6.7,10.6,4.3,3.3,1003.8,34,2.3,0
2011/1/7,4,7.3,1.8,0,9.2,12.36,4.7,2,1010.9,25,0,0
2011/1/8,5.9,10,1,0,9.2,11.98,2.4,3.2,1013.2,33,0,0
2011/1/9,6.1,12.2,0.6,0,9.1,11.59,2.1,4.2,1003.8,46,2.3,0
2011/1/10,3.4,6.1,1.4,0,9.2,12.75,5.1,2.1,1008.4,27,1.8,0
2011/1/11,3.8,6.4,0.5,0,6.7,9.99,2.4,2.5,1008.1,31,5.8,0
2011/1/12,5.1,9.5,1.9,0,8.4,11.14,2.5,3.3,1003.3,37,2.8,0
2011/1/13,4.4,7.7,2.4,0,8.6,12.09,3.8,2.3,1012.3,28,2.3,0
2011/1/14,3.8,7.3,0,0,9.1,11.83,1.7,2.9,1014.1,36,1.3,0
2011/1/15,4,7.4,0.2,0,1.1,5.89,1.9,4.2,1001.9,52,9.5,0
2011/1/16,2.2,5.9,-1.1,0,8.2,11.9,3.5,2.6,997.3,39,3.8,0
2011/1/17,5,11,-0.2,0,8.7,12.63,3.1,2.2,1006.9,26,1.3,0
2011/1/18,5.5,10.6,0.1,0,9.4,12.71,2.4,3.1,1012.2,36,1,0
2011/1/19,6.3,10.6,1.7,0,9.3,12.23,2,3.8,1009.7,41,1.5,0
