ダウンロードした時刻：2014/04/23 04:31:49

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/?),合計全天日射量(MJ/?),合計全天日射量(MJ/?),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均湿度(％),平均湿度(％),平均湿度(％),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2013/1/1,6.5,8,1,9.6,8,1,3.0,8,1,0,1,8,1,8.9,0,8,1,11.49,8,1,2.4,8,1,4.4,8,1,1012.1,8,1,45,8,1,2.5,8,1,0,1,8,1
2013/1/2,10.0,8,1,14.4,8,1,4.2,8,1,0,1,8,1,8.8,0,8,1,11.23,8,1,4.5,8,1,4.9,8,1,1011.4,8,1,41,8,1,0.0,8,1,0,1,8,1
2013/1/3,5.6,8,1,9.9,8,1,1.8,8,1,0,1,8,1,6.1,0,8,1,10.44,8,1,3.6,8,1,3.0,8,1,1012.5,8,1,33,8,1,5.5,8,1,0,1,8,1
2013/1/4,3.2,8,1,6.9,8,1,1.0,8,1,0,1,8,1,9.0,0,8,1,12.58,8,1,4.6,8,1,2.3,8,1,1015.6,8,1,31,8,1,0.3,8,1,0,1,8,1
2013/1/5,2.8,8,1,4.8,8,1,0.2,8,1,0,1,8,1,0.9,0,8,1,5.16,8,1,2.2,8,1,3.3,8,1,1016.5,8,1,44,8,1,6.8,8,1,0,1,8,1
2013/1/6,4.7,8,1,10.3,8,1,-1.4,8,1,0,1,8,1,5.3,0,8,1,8.67,8,1,2.0,8,1,3.7,8,1,1012.0,8,1,45,8,1,6.3,8,1,0,1,8,1
2013/1/7,5.5,8,1,8.9,8,1,2.1,8,1,0,1,8,1,4.4,0,8,1,9.20,8,1,1.9,8,1,4.1,8,1,1013.9,8,1,45,8,1,4.8,8,1,0,1,8,1
2013/1/8,6.6,8,1,11.4,8,1,2.6,8,1,0,1,8,1,7.6,0,8,1,10.70,8,1,2.3,8,1,5.7,8,1,1011.5,8,1,58,8,1,3.8,8,1,0,1,8,1
