Month	Date	Mean station level air pressure (hPa)	Mean sea level air pressure (hPa)	Total rainfall (mm)	Maximum rainfall per hour (mm)	Maximum rainfall per 10 minutes (mm)	Mean air temperature (℃)	Maximum temperature　(℃)	Minimum temperature　(℃)	Mean relative humidity　(%)	Minimum relative humidity (%)	Mean wind speed (m/s)	Maximum wind speed (m/s)	Direction of Maximum wind speed	Maximum instantaneous wind speed (m/s)	Direction of Maximum instantaneous wind speed	Sunshine duration (h)	Total snowfall (cm)	Maximum depth of snow cover (cm)	Meteorological summary 6:00-18:00	Meteorological summary 18:00- next day 6:00	
1	1	995.9	1000.3	--	--	--	6.6	10.8	2.2	33	21	2.3	4.6	北西	7.8	西	7.9	--	--	晴後一時曇	晴	
1	2	1011.1	1015.6	--	--	--	7.0	11.0	4.1	41	27	2.2	4.6	北北西	8.4	北北西	8.4	--	--	薄曇後晴	晴	
1	3	1011.5	1016.0	--	--	--	5.9	9.2	3.1	48	37	2.1	4.4	北北西	7.4	北北西	5.2	--	--	晴後一時曇	曇一時晴	
1	4	1005.7	1010.1	--	--	--	6.3	9.8	3.3	40	25	3.0	5.1	北西	9.0	北	8.4	--	--	晴	快晴	
1	5	1006.2	1010.7	--	--	--	7.3	11.0	2.8	39	27	3.3	7.1	南西	12.5	南西	7.4	--	--	晴後薄曇	晴時々薄曇	
1	6	1003.8	1008.2	--	--	--	6.5	10.8	3.1	34	21	4.3	6.9	北西	12.8	北	6.7	--	--	晴	快晴	
1	7	1010.9	1015.4	--	--	--	4.0	7.3	1.8	25	15	4.7	7.7	北西	13.3	北北西	9.2	--	--	快晴	快晴	
1	8	1013.2	1017.7	--	--	--	5.9	10.0	1.0	33	17	2.4	5.0	北北西	9.0	北北西	9.2	--	--	快晴	快晴	
1	9	1003.8	1008.3	--	--	--	6.1	12.2	0.6	46	21	2.1	5.4	東北東	11.6	北	9.1	--	--	快晴	晴時々曇	
1	10	1008.4	1013.0	--	--	--	3.4	6.1	1.4	27	18	5.1	9.0	北北西	18.3	北西	9.2	--	--	快晴	晴	
1	11	1008.1	1012.7	--	--	--	3.8	6.4	0.5	31	24	2.4	4.9	北北西	8.2	北北西	6.7	--	--	晴後曇	曇後一時晴	
1	12	1003.3	1007.8	0.0	0.0	0.0	5.1	9.5	1.9	37	28	2.5	6.4	北北西	12.3	北	8.4	--	--	快晴	快晴	
1	13	1012.3	1016.9	0.0	0.0	0.0	4.4	7.7	2.4	28	21	3.8	6.5	北北西	11.9	北北西	8.6	--	--	快晴	晴一時曇	
1	14	1014.1	1018.6	--	--	--	3.8	7.3	0.0	36	25	1.7	3.3	西北西	5.5	北北西	9.1	--	--	快晴	晴後薄曇	
1	15	1001.9	1006.4	--	--	--	4.0	7.4	0.2	52	34	1.9	3.9	東北東	7.3	北東	1.1	--	--	薄曇	曇時々晴	
1	16	997.3	1001.8	0.0	0.0	0.0	2.2	5.9	-1.1	39	9	3.5	7.7	北北西	14.6	北西	8.2	--	--	晴	快晴	
1	17	1006.9	1011.4	--	--	--	5.0	11.0	-0.2	26	14	3.1	6.7	北北西	11.5	西北西	8.7	--	--	快晴	快晴	
1	18	1012.2	1016.7	--	--	--	5.5	10.6	0.1	36	18	2.4	6.5	北西	12.0	北西	9.4	--	--	快晴	晴	
1	19	1009.7	1014.2	--	--	--	6.3	10.6	1.7	41	21	2.0 )	4.2	北北西	7.8	東北東	9.3	--	--	快晴	晴一時薄曇	
1	20	1007.8	1012.3	--	--	--	5.4	10.1	2.2	31	17	2.9	6.2	北北西	11.4	北北西	9.4	--	--	快晴	曇時々晴	
1	21	1011.4	1016.0	--	--	--	5.0	8.5	2.3	28	20	3.2	6.2	北西	11.4	北西	9.3	--	--	晴	曇時々晴	
1	22	1010.8	1015.3	--	--	--	6.0	10.4	2.6	34	21	2.1	4.6	北北西	8.3	北北西	9.4	--	--	快晴	快晴	
1	23	1014.9	1019.5	0.0	0.0	0.0	5.7	9.4	2.4	42	23	1.8	4.2	南東	7.8	北北西	6.3	--	--	晴後薄曇	曇時々雨	
